no match: /b{4,6}/ bbbdbtbbbj, bbbbbbb
MATCH: /j{4,8}/ jjjljkhj, jjjjj
no match: /h{9,15}/ vgzpgfhfhmwdhbqc, hhh
MATCH: /p{1,5}/ ptpsjqpnp, pppp
MATCH: /q{5,8}/ qbqqwqnq, qqqqq
no match: /w{5,7}/ wwswwxsb, wwww
no match: /h{3,6}/ nnhrnhkmxqkt, hh
no match: /w{1,3}/ jwwww, wwww
MATCH: /x{2,14}/ cxxxxdxxxxxxxbxx, xxxxxxxxxxxxx
no match: /x{12,14}/ xxxfxxxxqxxrxt, xxxxxxxxxx
MATCH: /f{4,9}/ fffkffbsfkxv, ffffff
MATCH: /m{12,13}/ mmmmmmmmmmmwm, mmmmmmmmmmmm
no match: /p{6,10}/ ppppphpppxppp, ppppppppppp
no match: /v{9,12}/ vsvvvvkmjvvvn, vvvvvvvv
no match: /r{3,12}/ shngvhbmjrpr, rr
no match: /w{12,13}/ wqwcwxclwwwfw, wwwwwww
no match: /r{4,5}/ nnrrdz, rr
no match: /c{4,19}/ vbcpwzvxssccqkqgmxvj, ccc
MATCH: /g{1,6}/ tglxhggng, gggg
no match: /z{9,10}/ lvzhvtglzf, zz
no match: /f{10,16}/ gddxfftggfbmxwts, fff
no match: /k{4,12}/ kkkklkkkkkkpkkk, kkkkkkkkkkkkk
MATCH: /m{7,11}/ mmmmmmmmmmtm, mmmmmmmmmmm
no match: /z{2,10}/ vkfpjrrvlwlbjwk, 
MATCH: /w{3,7}/ dtdzwjqgxdwjhchwwd, wwww
no match: /v{13,14}/ vvvvvvvvvvvvvvvv, vvvvvvvvvvvvvvvv
no match: /c{11,12}/ cjccccqccccc, cccccccccc
no match: /h{14,15}/ hzhrhkhfthrhxht, hhhhhhh
no match: /v{3,5}/ dtwvvvvvcvvvrvsvvv, vvvvvvvvvvvv
MATCH: /q{10,14}/ qhqqkqcqqqqqlfqgsqq, qqqqqqqqqqqq
no match: /f{3,14}/ ffvffffffffzffffff, ffffffffffffffff
no match: /x{1,12}/ xxtxjxzxxxxxlxxxxxxx, xxxxxxxxxxxxxxxx
no match: /c{2,4}/ pgpc, c
MATCH: /r{1,4}/ fdrr, rr
MATCH: /r{5,7}/ rrrrrrt, rrrrrr
no match: /d{10,11}/ drdddddddmddddpd, ddddddddddddd
MATCH: /f{2,5}/ gfrlctftzr, ff
no match: /z{10,13}/ nrzjjrzjzzplzmzzbn, zzzzzzz
MATCH: /c{8,10}/ cccccccgbc, cccccccc
MATCH: /g{5,8}/ fgggcndwgggbjnfgb, ggggggg
MATCH: /d{6,9}/ ddddghdgbddm, ddddddd
MATCH: /j{3,7}/ ftjjjvjqcp, jjjj
no match: /s{5,6}/ sqvfstz, ss
MATCH: /k{5,18}/ kkkwkkkkkkbkkkkkkkbk, kkkkkkkkkkkkkkkkk
MATCH: /f{3,6}/ djffffkff, ffffff
MATCH: /p{4,6}/ pqppppr, ppppp
MATCH: /h{5,9}/ hhkhjhmgcqvfhqvhn, hhhhhh
MATCH: /t{8,12}/ tttttttvttttt, tttttttttttt
no match: /z{14,15}/ pzrzhjqmtbcnzdzr, zzzz
MATCH: /s{1,17}/ ssssssssssssswsss, ssssssssssssssss
MATCH: /s{1,4}/ ssqh, ss
no match: /r{1,5}/ rrrrrrr, rrrrrrr
no match: /h{17,18}/ hhhhhrhcxhhhhhhhhb, hhhhhhhhhhhhhh
no match: /t{7,9}/ dttttjmtv, ttttt
MATCH: /c{1,3}/ mcccp, ccc
no match: /x{4,5}/ xprbxql, xx
no match: /q{1,5}/ cqqqqqq, qqqqqq
MATCH: /g{3,4}/ ggggw, gggg
MATCH: /f{1,7}/ ffffffnf, fffffff
no match: /t{7,9}/ ttttttttttt, ttttttttttt
MATCH: /m{11,15}/ mmlmfmmmmmmmmmmqm, mmmmmmmmmmmmmm
MATCH: /n{4,5}/ npnnnn, nnnnn
no match: /b{4,5}/ zvbbvbjhlkf, bbb
no match: /c{11,16}/ gnqmcvtzwpcbvncwcc, ccccc
no match: /q{12,18}/ qbqkwqqvqwqqnljsqpqt, qqqqqqqqq
no match: /r{6,10}/ wcrtdrlkgjr, rrr
no match: /p{16,17}/ gppppppppwvlgpptp, ppppppppppp
MATCH: /g{1,13}/ gqghbwqqzwwdk, gg
MATCH: /l{1,6}/ rlllll, lllll
MATCH: /j{3,7}/ pdjjtcqwbqtpfkjbwgq, jjj
no match: /z{7,17}/ zzhsnjrhrzzfrqszdhdg, zzzzz
no match: /n{6,7}/ xnvnhnrn, nnnn
MATCH: /r{6,7}/ rrrrrrzr, rrrrrrr
no match: /c{2,3}/ ccmcccc, cccccc
MATCH: /v{2,3}/ vvdv, vvv
MATCH: /f{3,9}/ mlfffshbfdff, ffffff
no match: /v{11,13}/ dfvkltvjvvvvx, vvvvvv
MATCH: /c{12,13}/ mqrccccbccbgcccccvc, cccccccccccc
no match: /w{9,13}/ wwwwwwwwwwwwcwtww, wwwwwwwwwwwwwww
no match: /d{6,8}/ pdvgddtmvwdkvdtzf, ddddd
no match: /s{1,9}/ hsssssssssdsls, sssssssssss
MATCH: /c{1,5}/ zbsslcd, c
no match: /p{1,4}/ bpppppppppp, pppppppppp
no match: /s{13,16}/ sssxslsscssbqsspcs, sssssssssss
MATCH: /p{1,10}/ pskwpppzpppppks, ppppppppp
no match: /c{3,5}/ ccppccmcc, cccccc
no match: /b{10,11}/ rhbbbbbbbzbb, bbbbbbbbb
MATCH: /d{2,3}/ ndhjhd, dd
MATCH: /s{3,4}/ sscs, sss
no match: /d{5,6}/ dtwwnt, d
no match: /d{4,5}/ dddddddd, dddddddd
MATCH: /z{5,9}/ zztzvzzzz, zzzzzzz
no match: /v{2,6}/ vpqdll, v
no match: /d{13,14}/ nxkmbkkpxkcdld, dd
no match: /s{1,3}/ ssss, ssss
MATCH: /z{8,14}/ zzzzzzzzzzzzzbz, zzzzzzzzzzzzzz
no match: /f{16,17}/ fffnffffffftbzffpkf, fffffffffffff
no match: /m{3,4}/ mtcm, mm
no match: /r{3,4}/ mrdrd, rr
no match: /k{11,13}/ ljkmhdkkkcpjzlmkkzkk, kkkkkkkk
MATCH: /d{2,3}/ tdqnxpd, dd
no match: /h{3,7}/ mrvdlthxchpvwvssqpk, hh
no match: /j{13,17}/ jjfjjvjjjjjzjsjjksxr, jjjjjjjjjjjj
MATCH: /n{1,4}/ rnnx, nn
MATCH: /m{7,10}/ mmmmzmxfmm, mmmmmmm
MATCH: /r{1,6}/ lrrvrrrrm, rrrrrr
MATCH: /r{4,18}/ rrrdrrrrrrrrrkblrr, rrrrrrrrrrrrrr
MATCH: /k{6,7}/ kkkkkkl, kkkkkk
MATCH: /v{4,6}/ vmnfvvvvmcmlh, vvvvv
no match: /g{6,9}/ jgcgggkbbmgbs, ggggg
no match: /t{7,8}/ ttcfwtgjtcttv, tttttt
MATCH: /j{3,4}/ tjjj, jjj
valid passwords: 454
invalid passwords: 546
